time,close,high,low,open,volume
1483228740000000000,968.29,968.29,968.29,968.29,0
1483228800000000000,968.7,968.76,968.49,968.29,12993
1483228860000000000,968.43,968.7,967.2,968.7,73800
1483228920000000000,967.21,968.0,967.21,968.43,3500
1483228980000000000,966.97,967.21,966.74,967.21,15969
1483229040000000000,966.97,966.97,966.97,966.97,300
1483229100000000000,967.0,967.0,967.0,966.97,13231
1483229160000000000,966.89,966.89,966.89,967.0,500
1483229220000000000,966.89,966.89,966.89,966.89,0
1483229280000000000,966.89,966.89,966.89,966.89,0
1483229340000000000,966.89,966.89,966.89,966.89,0
1483229400000000000,966.89,966.89,966.89,966.89,0
1483229460000000000,966.05,966.64,966.05,966.89,12900
1483229520000000000,965.0,965.86,964.99,966.05,103237
1483229580000000000,965.0,965.0,965.0,965.0,0
1483229640000000000,964.86,964.86,964.86,965.0,8000
1483229700000000000,964.86,964.86,964.86,964.86,0
1483229760000000000,964.99,964.99,964.99,964.86,3000
1483229820000000000,964.8,964.8,964.8,964.99,1
1483229880000000000,964.8,964.8,964.8,964.8,0
1483229940000000000,964.8,964.8,964.8,964.8,0
1483230000000000000,964.8,964.8,964.8,964.8,0
1483230060000000000,964.8,964.8,964.8,964.8,0
1483230120000000000,964.8,964.8,964.8,964.8,0
1483230180000000000,964.8,964.8,964.8,964.8,0
1483230240000000000,964.8,964.8,964.8,964.8,0
1483230300000000000,964.8,964.8,964.8,964.8,0
1483230360000000000,965.08,965.09,965.08,964.8,5000
1483230420000000000,964.54,964.78,964.54,965.08,35000
1483230480000000000,964.54,964.54,964.54,964.54,0
1483230540000000000,964.91,964.92,964.91,964.54,8000
1483230600000000000,964.91,964.91,964.91,964.91,0
1483230660000000000,964.91,964.91,964.91,964.91,0
1483230720000000000,964.92,964.92,964.92,964.91,2500
1483230780000000000,964.92,964.92,964.92,964.92,0
1483230840000000000,965.01,965.01,965.01,964.92,1
1483230900000000000,967.38,967.38,965.57,965.01,59000
1483230960000000000,965.88,965.88,965.88,967.38,1
1483231020000000000,967.65,967.65,967.64,965.88,3000
1483231080000000000,967.77,967.77,967.77,967.65,7000
1483231140000000000,967.82,967.82,967.81,967.77,2500
1483231200000000000,967.82,967.82,967.82,967.82,0
1483231260000000000,967.82,967.82,967.82,967.82,0
1483231320000000000,967.82,967.82,967.82,967.82,0
1483231380000000000,967.82,967.82,967.82,967.82,0
1483231440000000000,967.08,967.08,967.08,967.82,50
1483231500000000000,967.4,967.4,967.4,967.08,50
1483231560000000000,967.4,967.4,967.4,967.4,0
1483231620000000000,967.4,967.4,967.4,967.4,0
1483231680000000000,967.4,967.4,967.4,967.4,0
1483231740000000000,967.4,967.4,967.4,967.4,0
1483231800000000000,967.4,967.4,967.4,967.4,0
1483231860000000000,967.4,967.4,967.4,967.4,0
1483231920000000000,967.4,967.4,967.4,967.4,0
1483231980000000000,967.9,967.9,967.87,967.4,7000
1483232040000000000,968.08,968.08,967.9,967.9,7000
1483232100000000000,968.08,968.08,968.08,968.08,0
1483232160000000000,966.89,966.89,966.89,968.08,1
1483232220000000000,968.0,968.0,968.0,966.89,1001
1483232280000000000,967.62,967.62,967.62,968.0,1
1483232340000000000,968.0,968.0,968.0,967.62,5
1483232400000000000,968.0,968.0,968.0,968.0,0
1483232460000000000,968.0,968.0,968.0,968.0,0
1483232520000000000,968.0,968.0,968.0,968.0,0
1483232580000000000,968.1,968.1,968.09,968.0,1002
1483232640000000000,968.1,968.1,968.1,968.1,0
1483232700000000000,968.1,968.1,968.1,968.1,0
1483232760000000000,968.1,968.1,968.1,968.1,0
1483232820000000000,967.62,967.62,967.62,968.1,2500
1483232880000000000,967.98,967.98,967.98,967.62,1000
1483232940000000000,967.62,967.96,967.62,967.98,1700
1483233000000000000,967.0,967.7,967.0,967.62,27888
1483233060000000000,967.0,967.0,967.0,967.0,1500
1483233120000000000,967.0,967.0,967.0,967.0,0
1483233180000000000,967.0,967.0,967.0,967.0,1100
1483233240000000000,966.29,967.0,966.29,967.0,4988
1483233300000000000,966.28,966.29,966.28,966.29,3068
1483233360000000000,966.28,966.28,966.28,966.28,0
1483233420000000000,966.28,966.28,966.28,966.28,0
1483233480000000000,966.28,966.28,966.28,966.28,0
1483233540000000000,966.28,966.28,966.28,966.28,0
1483233600000000000,966.28,966.28,966.28,966.28,0
1483233660000000000,966.28,966.28,966.28,966.28,0
1483233720000000000,966.0,966.29,966.0,966.28,5000
1483233780000000000,965.0,966.65,965.0,966.0,11271
1483233840000000000,965.0,966.66,965.0,965.0,14200
1483233900000000000,964.09,965.01,964.09,965.0,76593
1483233960000000000,964.0,964.0,964.0,964.09,1120
1483234020000000000,964.0,964.0,964.0,964.0,60
1483234080000000000,964.0,964.0,964.0,964.0,111
1483234140000000000,964.0,964.0,964.0,964.0,0
1483234200000000000,964.76,964.76,964.76,964.0,500
1483234260000000000,964.76,964.76,964.76,964.76,0
1483234320000000000,964.76,964.76,964.76,964.76,0
1483234380000000000,964.76,964.76,964.76,964.76,0
1483234440000000000,964.76,964.76,964.76,964.76,0
1483234500000000000,964.76,964.76,964.76,964.76,0
1483234560000000000,964.76,964.76,964.76,964.76,0
1483234620000000000,964.85,967.48,964.69,964.76,107021
1483234680000000000,966.25,966.25,964.85,964.85,529
